,sku,name,brewery,rating,category,sub_category_1,sub_category_2,sub_category_3,description,region,country,abv,ibu,calories_per_serving_12oz,carbs_per_serving_12oz,tasting_notes,food_pairing,suggested_glassware,serving_temp_f,serving_temp_c,beer_type,features,sub_category_2_original,sub_category_3_original,brewery_original
30,100031,Rodenbach Alexander,1699,4.5,Beer,Ale,3,0,"RODENBACH Alexander is a blend of 2/3rd aged RODENBACH (2 year matured beer from oak standing Foeders) and 1/3rd young ale, then macerated with sour cherries.  With an ABV of 5.6%, RODENBACH Alexander is offered in draught one-way kegs and 750ML bottles, adorned with the image of Alexander Rodenbach, one of the brewery's founding brothers.",Roeselare,Belgium,6.0,6.0,,,,"Duck, Cherry pie, Dark chocolate","Snifter/Goblet/Chalice, Stange",45-50° F,7.2-10.0° C,,,Belgian-Style Ale,,Brouwerij Rodenbach
68,100069,Duchesse De Bourgogne,1660,4.8,Beer,Ale,3,0,"Belgian top-fermented reddish-brown ale, a blend of 8 and 18 months old beers following the careful maturation in oak casks.",Vichte,Belgium,6.0,11.0,,,"Tart, Red Fruit, Funky, Acidic","Cheese, Duck, Chocolate",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,Craft,,Belgian-Style Ale,,Brouewerij Verhaeghe
71,100072,Paperback One Night W/ Nora Blonde Ale,6375,4.750066666666664,Beer,Ale,13,0,"An approachable, easy-drinking beer that is visually appealing and has no particularly dominating malt or hop characteristics.  Smooth and balanced with a tonuch of honey malt.",Bristol,United Kingdom,5.1,25.0,,,,"Grilled chicken, Salad, Lemon bars",Pint Glass,45-50° F,7.2-10.0° C,,,Golden / Blonde Ale,,Paperback Brewing Company
94,100095,Progression Standing Ovation NEIPA,6679,3.8510000000000004,Beer,Ale,15,43,"Celebrating the unique character of Galaxy hops from Australia, this beautiful hazy orange hued Double IPA will wow you with its powerful olfactory punch of passion fruit, clean citrus and overripe peach. With a slick and silky mouthfeel and its blend of Amarillo and Galaxy dry hop infusions, we guarantee you'll be back for more.",Southampton,United Kingdom,8.0,45.0,,,,"Spicy Thai curry, Grilled chicken tacos, Citrus glazed salmon",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,IPA,New England / Hazy IPA,Progression Brewing Company
157,100158,Chimay Doree,2187,4.640999999999998,Beer,Ale,3,0,"Despite its lower alcohol content, it is still a highly fermented Trappist beer whose touch of hops and spicy aromas never fails to delight all who taste it. Brewed with dried orange peel and coriander, this spicy ale was was created by the Trappist monks at Scourmont Abbey in Belgium to pair with evening meals.",Chimay,Belgium,4.8,25.0,,,,"Cheese, Charcuterie, Grilled Chicken",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,,Chimay
168,100169,Tripel Karmeliet Belgian Ale,8540,4.6,Beer,Ale,3,58,"Tripel Karmeliet is a very refined and complex golden-to-bronze brew with a fantastic creamy head. These characteristics derive not only from the grains used but also from restrained hopping with Styrians and the fruity nature (banana and vanilla) of the house yeast. Aroma has hints of vanilla mixed with citrus aromas. Tripel Karmeliet has not only the lightness and freshness of wheat, but also the creaminess of oats together with a spicy lemony almost quinine dryness.",Buggenhout,Belgium,8.4,8.0,,,"Strong, Honey, Fruity, Stone Fruit","Mussels, Roast Chicken, Gouda Cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,Craft,,Belgian-Style Ale,Tripel,Tripel Karmeliet
194,100195,De Proefbrouwerij Abtsolution Belgian Strong Ale,2602,4.746000000000004,Beer,Ale,3,9,"We are thrilled to welcome Daniel Carey of New Glarus Brewing Company as our 11th annual partner in this series. In the true spirit of the project, we have created a beer based on the classic Belgian Abt style, with unique Wisconson contributions including Santiam and Chinook hops. To further highlight the Dairy State we've added lactos for extra mouthfeel and richness. The result is a dark ale from our use of French and American oak along with spicy hop notes. This ale is designed to drink now, but we believe will evolve beautifully over the next 1-2 years. Enjoy Abtsolution with roasted meats, rich cheese and of course, friends. Cheers!",East Flanders,Belgium,9.0,22.0,,,,"Cheese, Steak, Dark Chocolate",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,Belgian-Style Ale,Belgian Strong Ale,De Proefbrouwerij
212,100213,Newcastle Brown Ale,5926,4.5,Beer,Ale,7,26,"Brewed with a unique blend of pale and roasted malts with American hops, Newcastle Brown Ale is smooth, crisp, and slightly roasty. Not too sweet. Not too bitter. Altogether an uncommonly balanced Brown Ale.",Newcastle upon Tyne,United Kingdom,4.7,18.0,,,"Nutty, Malty, Caramel","Steak, BBQ ribs, Chocolate desserts","Pint Glass, Stein/Pub Mug",45-50° F,7.2-10.0° C,,,Brown Ale,English Brown Ale,Newcastle
214,100215,Palm Belgian Pale Ale,6355,5.0,Beer,Ale,3,0,PALM Ale has long been one of Europe's top-selling specialty beers. Made with English hops  French Barley  and Belgian yeast  PALM represents the best of European beer-making traditions. It's the roasted Champagne Malt which gives PALM its amber color  but without being heavy.,Steenhuffel,Belgium,5.4,21.0,,,"Dried Fruit, Malty, Earthy, Smooth","Seafood, Chicken, Salad",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,,,Belgian-Style Ale,,Palm
230,100231,Chimay Premiere Ale,2187,4.9,Beer,Ale,3,21,"The Chimay Red Cap, or Premiere, in 750 ml bottles, is the oldest of the Chimays. This Trappist beer possesses a beautiful coppery colour that makes it particularly attractive. Topped with a creamy head, it gives off a slight fruity apricot smell from the fermentation. The aroma felt in the mouth is a balance confirming the fruit nuances revealed to the sense of smell. This traditional Belgian beer is best savoured at cellar temperature. ABV 7.0",Chimay,Belgium,7.0,30.0,,,"Dark Fruit, Bready, Balanced, Caramel","Cheese, Steak, Chocolate",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Dubbel,Chimay
